2,2015-07-11 05:47:34,2015-07-11 05:55:52,1,3.62,-73.956558227539063,40.771125793457031,1,N,-73.994255065917969,40.739120483398437,2,12,0.5,0.5,0,0,0.3,13.3
1,2015-07-11 05:47:35,2015-07-11 06:03:24,1,5.20,-73.986190795898437,40.747592926025391,1,N,-73.964813232421875,40.806663513183594,1,17,0.5,0.5,3.65,0,0.3,21.95
2,2015-07-11 05:47:35,2015-07-11 05:56:08,2,2.75,-73.982719421386719,40.731456756591797,1,N,-74.011001586914063,40.727165222167969,1,10.5,0.5,0.5,2.36,0,0.3,14.16
2,2015-07-11 05:47:36,2015-07-11 05:52:04,1,1.56,-73.991096496582031,40.760810852050781,1,N,-74.005058288574219,40.741016387939453,1,6.5,0.5,0.5,1,0,0.3,8.8
1,2015-07-11 05:47:37,2015-07-11 05:54:11,1,1.50,-73.963890075683594,40.771537780761719,1,N,-73.945526123046875,40.778587341308594,2,7.5,0.5,0.5,0,0,0.3,8.8
1,2015-07-11 05:47:38,2015-07-11 06:01:14,1,3.40,-73.987831115722656,40.759536743164063,1,N,-73.988288879394531,40.723358154296875,2,13.5,0.5,0.5,0,0,0.3,14.8
1,2015-07-11 05:47:38,2015-07-11 05:55:55,2,1.90,-73.9945068359375,40.743793487548828,1,N,-73.979789733886719,40.726760864257812,2,9,0,0.5,0,0,0.3,9.8
1,2015-07-11 05:47:39,2015-07-11 06:06:39,1,5.10,-73.982124328613281,40.782878875732422,1,N,-73.921768188476563,40.820320129394531,2,18,0.5,0.5,0,0,0.3,19.3
1,2015-07-11 05:47:40,2015-07-11 06:06:12,1,12.90,-73.986442565917969,40.721321105957031,1,N,-73.898918151855469,40.861812591552734,2,35.5,0,0.5,0,0,0.3,36.3
2,2015-07-11 05:47:40,2015-07-11 05:58:30,1,2.96,-73.984329223632813,40.769111633300781,1,N,-73.996063232421875,40.738540649414062,2,11,0.5,0.5,0,0,0.3,12.3
1,2015-07-11 05:47:42,2015-07-11 05:58:22,1,3.30,-73.859535217285156,40.712467193603516,1,N,-73.893714904785156,40.747653961181641,1,12.5,0.5,0.5,4.14,0,0.3,17.94
1,2015-07-11 05:47:44,2015-07-11 05:52:56,1,1.30,-73.983268737792969,40.766975402832031,1,N,-73.987983703613281,40.751625061035156,2,6.5,0.5,0.5,0,0,0.3,7.8
1,2015-07-11 05:47:46,2015-07-11 05:55:04,1,2.50,-73.953857421875,40.7669677734375,1,N,-73.983726501464844,40.749282836914063,2,9.5,0.5,0.5,0,0,0.3,10.8
1,2015-07-11 05:47:46,2015-07-11 06:06:03,1,5.20,-73.987533569335938,40.738243103027344,1,N,-73.956123352050781,40.688594818115234,2,18,0.5,0.5,0,0,0.3,19.3
1,2015-07-11 05:47:48,2015-07-11 06:02:09,1,9.10,-73.987869262695312,40.759864807128906,1,N,-73.923454284667969,40.866912841796875,2,26,0.5,0.5,0,0,0.3,27.3
1,2015-07-11 05:47:50,2015-07-11 05:56:55,2,1.60,-73.936355590820313,40.849685668945313,1,N,-73.940437316894531,40.830211639404297,2,8.5,0.5,0.5,0,0,0.3,9.8
2,2015-07-11 05:47:52,2015-07-11 05:52:17,1,1.05,-73.974494934082031,40.753635406494141,1,N,-73.981575012207031,40.740631103515625,1,6,0.5,0.5,1,0,0.3,8.3
2,2015-07-11 05:47:53,2015-07-11 05:52:37,1,1.39,-73.951141357421875,40.785968780517578,1,N,-73.952217102050781,40.769779205322266,2,6.5,0.5,0.5,0,0,0.3,7.8
2,2015-07-11 05:47:54,2015-07-11 05:50:37,1,.92,-73.997390747070313,40.762153625488281,1,N,-73.992538452148438,40.753475189208984,1,5,0.5,0.5,1,0,0.3,7.3
