,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra
38,2,2015-06-06 05:26:33,2015-06-06 05:32:48,2,0.98,-73.9843521118,40.7287979126,1,N,-73.998626709,40.7340698242,2,6.0,0.5
39,1,2015-06-06 05:26:34,2015-06-06 05:55:35,2,12.3,-74.001914978,40.7294769287,1,N,-73.8615875244,40.7682647705,1,35.5,0.5
40,2,2015-06-06 05:26:35,2015-06-06 05:35:04,3,2.76,-73.8930435181,40.7488822937,1,N,-73.9200134277,40.7631530762,2,10.0,0.5
41,1,2015-06-06 05:26:38,2015-06-06 05:58:06,1,18.1,-73.7770614624,40.6459197998,2,N,-73.9837417603,40.7613182068,1,52.0,0.0
42,2,2015-06-06 05:26:38,2015-06-06 05:47:27,5,11.03,-73.9862670898,40.7683982849,1,N,-73.8726196289,40.7743301392,1,31.5,0.5
43,1,2015-06-06 05:26:38,2015-06-06 05:31:15,1,0.4,-73.9376831055,40.7969932556,1,N,-73.9428329468,40.7969665527,3,5.0,0.5
44,1,2015-06-06 05:26:38,2015-06-06 05:37:49,1,3.2,-73.912727356,40.7667388916,1,N,-73.8728942871,40.7700920105,2,11.5,0.5
45,2,2015-06-06 05:26:39,2015-06-06 05:29:50,1,0.6,-73.9035263062,40.7711334229,1,N,-73.9116439819,40.7754402161,2,4.5,0.5
46,2,2015-06-06 05:26:40,2015-06-06 05:42:47,1,4.3,-73.9831619263,40.7638893127,1,N,-73.9152832031,40.7457313538,2,15.5,0.5
47,1,2015-06-06 05:26:40,2015-06-06 05:31:20,1,1.1,-73.9827651978,40.7661437988,1,N,-73.9627914429,40.7582130432,2,6.0,0.5
48,1,2015-06-06 05:26:42,2015-06-06 05:47:20,1,11.7,-74.0090255737,40.7065391541,1,N,-73.871635437,40.7742347717,1,32.5,0.5
49,2,2015-06-06 05:26:43,2015-06-06 05:46:10,1,10.63,-73.9747238159,40.7560310364,1,N,-73.8709793091,40.7741470337,1,30.5,0.5
50,2,2015-06-06 05:26:43,2015-06-06 05:29:53,1,0.79,-73.9659194946,40.7620124817,1,N,-73.956817627,40.7665481567,2,4.5,0.5
51,1,2015-06-06 05:26:44,2015-06-06 05:33:56,1,2.3,-74.0065917969,40.7439575195,1,N,-73.9851303101,40.769405365,1,9.0,0.5
52,1,2015-06-06 05:26:45,2015-06-06 05:34:52,1,3.0,-73.9870758057,40.7293663025,1,N,-73.9705200195,40.764755249,2,10.5,0.5
53,1,2015-06-06 05:26:45,2015-06-06 05:59:32,1,19.2,-73.7767715454,40.6452484131,2,N,-73.9822235107,40.7712478638,2,52.0,0.0
54,2,2015-06-06 05:26:46,2015-06-06 05:32:27,1,1.59,-73.9811706543,40.7640953064,1,N,-73.9784393311,40.7479553223,1,7.0,0.5
55,1,2015-06-06 05:26:48,2015-06-06 05:32:07,1,1.5,-73.9541854858,40.8059768677,1,N,-73.9400253296,40.8253898621,1,7.0,0.5
56,1,2015-06-06 05:26:49,2015-06-06 05:41:53,1,5.0,-74.0006484985,40.7297782898,1,N,-73.9496459961,40.776889801,1,16.5,0.5
57,1,2015-06-06 05:26:49,2015-06-06 05:31:00,1,0.8,-73.9829788208,40.7608985901,1,N,-73.9704055786,40.7562675476,2,5.0,0.5
58,2,2015-06-06 05:26:51,2015-06-06 05:29:22,1,0.52,-73.9336853027,40.766330719,1,N,-73.9370422363,40.7642021179,2,4.0,0.5
59,2,2015-06-06 05:26:53,2015-06-06 05:41:58,1,4.58,-73.9967193604,40.7635116577,1,N,-74.0122299194,40.7043533325,2,16.0,0.5
60,2,2015-06-06 05:26:55,2015-06-06 05:58:45,1,6.59,-73.9991531372,40.7282104492,1,N,-73.8984222412,40.7068405151,1,23.5,0.5
61,2,2015-06-06 05:26:58,2015-06-06 05:39:52,1,4.17,-73.9256820679,40.821346283,1,N,-73.9556884766,40.7794075012,1,14.0,0.5
62,2,2015-06-06 05:27:00,2015-06-06 05:39:07,2,3.82,-74.0086517334,40.7136421204,1,N,-73.9875793457,40.7602348328,2,13.0,0.5
63,1,2015-06-06 05:27:00,2015-06-06 05:31:07,2,1.0,-73.9520874023,40.7730026245,1,N,-73.9576873779,40.765296936,1,5.5,0.5
64,1,2015-06-06 05:27:01,2015-06-06 05:41:19,1,4.6,-73.9534912109,40.775604248,1,N,-73.9256668091,40.828125,2,16.5,0.5
65,1,2015-06-06 05:27:01,2015-06-06 05:38:16,1,6.0,-73.946975708,40.7804222107,1,N,-73.938659668,40.8509483337,2,17.5,0.5
66,1,2015-06-06 05:27:01,2015-06-06 05:30:23,1,1.1,-73.9898223877,40.7565765381,1,N,-73.9800186157,40.7702407837,1,5.5,0.5
67,2,2015-06-06 05:27:02,2015-06-06 05:36:09,1,2.97,-73.9784164429,40.7452392578,1,N,-73.9500656128,40.7804908752,1,10.5,0.5
68,2,2015-06-06 05:27:04,2015-06-06 05:41:47,5,3.72,-73.9841079712,40.744140625,1,N,-73.9451675415,40.775138855,2,14.0,0.5
69,1,2015-06-06 05:27:05,2015-06-06 05:47:47,1,6.5,-73.9066162109,40.8490447998,1,N,-73.8377227783,40.8740692139,4,22.0,0.5
70,1,2015-06-06 05:27:06,2015-06-06 05:37:01,1,2.4,-73.96144104,40.7740745544,1,N,-73.9388809204,40.8050994873,1,10.0,0.5
