ï»¿VendorID,lpep_pickup_datetime,Lpep_dropoff_datetime,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Trip_type ,PULocationID,DOLocationID
2,6/4/16 5:25,6/4/16 5:39,N,1,-73.95587921,40.71972656,-74.01735687,40.63844681,1,9.59,27,0.5,0.5,5.66,0,,0.3,33.96,1,1,,
2,6/4/16 5:25,6/4/16 5:38,N,1,-73.84423828,40.72135162,-73.7901535,40.64524078,1,7.31,21.5,0.5,0.5,0,0,,0.3,22.8,2,1,,
2,6/4/16 5:25,6/4/16 5:30,N,1,-73.91780853,40.77005386,-73.87649536,40.75886154,1,2.44,8.5,0.5,0.5,0,0,,0.3,9.8,2,1,,
2,6/4/16 5:25,6/4/16 5:34,N,1,-73.94803619,40.71129227,-73.92532349,40.70034027,1,1.89,8.5,0.5,0.5,1.96,0,,0.3,11.76,1,1,,
2,6/4/16 5:25,6/4/16 5:30,N,1,-73.88504028,40.74744034,-73.89638519,40.74705887,1,0.63,5,0.5,0.5,0,0,,0.3,6.3,2,1,,
2,6/4/16 5:25,6/4/16 5:33,N,1,-73.93807983,40.69872284,-73.95156097,40.71392441,1,1.36,7.5,0.5,0.5,0,0,,0.3,8.8,2,1,,
1,6/4/16 5:25,6/4/16 5:30,N,1,-73.91757202,40.76999283,-73.87286377,40.77432632,1,2.8,9.5,0.5,0.5,1,0,,0.3,11.8,1,1,,
1,6/4/16 5:26,6/4/16 5:33,N,1,-73.95433044,40.82134628,-73.97209167,40.79453659,1,2.1,9,0.5,0.5,0,0,,0.3,10.3,2,1,,
2,6/4/16 5:26,6/4/16 5:26,N,5,-73.97389221,40.90270615,-73.97389221,40.90276337,1,0,40,0,0,0,0,,0,40,1,2,,
2,6/4/16 5:26,6/5/16 2:31,N,5,-73.91773224,40.68566895,-73.9175415,40.68463516,1,0,15,0,0,0,0,,0,15,2,2,,
1,6/4/16 5:26,6/4/16 5:30,N,1,-73.95122528,40.82519913,-73.94584656,40.83600235,1,0.9,5.5,0.5,0.5,0,0,,0.3,6.8,2,1,,
2,6/4/16 5:26,6/4/16 5:27,N,1,-73.93701935,40.8208313,-73.94586945,40.82440567,1,0.46,3.5,0.5,0.5,0,0,,0,4.5,2,1,,
2,6/4/16 5:26,6/4/16 5:31,N,1,-73.95761871,40.71792603,-73.95478058,40.73022079,6,0.99,5.5,0.5,0.5,0,0,,0.3,6.8,2,1,,
2,6/4/16 5:26,6/4/16 5:37,N,1,-73.92383575,40.70682144,-73.96078491,40.71420288,5,3.37,12.5,0.5,0.5,2.76,0,,0.3,16.56,1,1,,
2,6/4/16 5:26,6/4/16 5:35,N,1,-73.96076965,40.69701767,-73.98996735,40.68723679,1,2.46,10,0.5,0.5,2.26,0,,0.3,13.56,1,1,,
2,6/4/16 5:26,6/4/16 5:49,N,1,-73.95788574,40.64382553,-73.79021454,40.64676666,1,15.04,41,0.5,0.5,4,0,,0.3,46.3,1,1,,
1,6/4/16 5:26,6/4/16 5:31,N,1,-73.86928558,40.74909973,-73.86467743,40.73654938,1,0.9,5.5,0.5,0.5,0,0,,0.3,6.8,2,1,,
1,6/4/16 5:26,6/4/16 5:37,N,1,-73.96661377,40.80437469,-73.94618225,40.81054306,1,2.1,10,0.5,0.5,3.35,0,,0.3,14.65,1,1,,
2,6/4/16 5:26,6/4/16 5:36,N,1,-73.92961121,40.69762421,-73.91352844,40.69582367,1,2.06,9,0.5,0.5,0,0,,0.3,10.3,2,1,,
2,6/4/16 5:26,6/4/16 5:35,N,1,-73.97997284,40.66853333,-74.01264191,40.67619324,1,2.14,9,0.5,0.5,2,0,,0.3,12.3,1,1,,
2,6/4/16 5:26,6/4/16 5:49,N,1,-73.92100525,40.7579689,-73.78302765,40.64397812,1,14.53,40,0.5,0.5,0,0,,0.3,41.3,1,1,,
2,6/4/16 5:27,6/4/16 5:32,N,1,-73.95092773,40.68623352,-73.95039368,40.65777206,1,1.98,8,0.5,0.5,1.86,0,,0.3,11.16,1,1,,
2,6/4/16 5:27,6/4/16 5:44,N,1,-73.93075562,40.7073288,-74.01104736,40.72369385,1,7.46,23,0.5,0.5,2,0,,0.3,26.3,1,1,,
2,6/4/16 5:27,6/4/16 5:28,N,1,-73.8967514,40.75445175,-73.91155243,40.75548172,1,0.57,3.5,0.5,0.5,0,0,,0.3,4.8,2,1,,
2,6/4/16 5:27,6/4/16 5:31,N,1,-73.88123322,40.74784851,-73.8832016,40.75403214,1,0.62,5,0.5,0.5,0,0,,0.3,6.3,2,1,,
2,6/4/16 5:27,6/5/16 0:00,N,1,-73.89082336,40.74660873,-73.88010406,40.72336197,1,2.3,9,0.5,0.5,0,0,,0.3,10.3,2,1,,
2,6/4/16 5:27,6/4/16 5:38,N,1,-73.95858002,40.72126389,-73.99033356,40.72512817,1,3.35,12.5,0.5,0.5,4.14,0,,0.3,17.94,1,1,,
1,6/4/16 5:27,6/4/16 5:30,N,1,-73.92382813,40.70664978,-73.93139648,40.70708084,1,0.6,4.5,0.5,0.5,1.5,0,,0.3,7.3,1,1,,
1,6/4/16 5:27,6/4/16 5:36,N,5,-73.9023819,40.81266022,-73.9209137,40.82979584,1,2.2,0,0,0,0,0,,0,0,2,2,,
1,6/4/16 5:27,6/4/16 5:40,N,1,-73.9616394,40.71834183,-73.90366364,40.70323944,1,3.9,13.5,0.5,0.5,2.95,0,,0.3,17.75,1,1,,
2,6/4/16 5:27,6/4/16 5:32,N,1,-73.95057678,40.7141037,-73.96309662,40.71847153,1,0.85,5.5,0.5,0.5,1,0,,0.3,7.8,1,1,,
2,6/4/16 5:27,6/4/16 5:49,N,1,-73.95168304,40.7142868,-73.78359222,40.6436882,1,14.67,40,0.5,0.5,5,0,,0.3,46.3,1,1,,
2,6/4/16 5:27,6/4/16 5:38,N,1,-73.8302002,40.75968933,-73.87374115,40.74881363,1,2.51,10.5,0.5,0.5,0,0,,0.3,11.8,2,1,,
2,6/4/16 5:27,6/4/16 5:29,N,1,-73.95826721,40.72156906,-73.95780182,40.71784592,1,0.36,3.5,0.5,0.5,1,0,,0.3,5.8,1,1,,
2,6/4/16 5:27,6/4/16 5:51,N,1,-73.89041901,40.74686813,-73.90950012,40.76255798,2,4.38,17.5,0.5,0.5,0,0,,0.3,18.8,2,1,,
2,6/4/16 5:27,6/4/16 5:44,N,1,-73.96002197,40.71992111,-73.99165344,40.74440384,5,5.05,17.5,0.5,0.5,3.76,0,,0.3,22.56,1,1,,
2,6/4/16 5:27,6/4/16 5:54,N,1,-73.86374664,40.74995804,-73.9811554,40.7413063,6,7.76,26,0.5,0.5,0,0,,0.3,27.3,2,1,,
2,6/4/16 5:27,6/4/16 5:38,N,1,-73.9804306,40.67654419,-73.93708038,40.66738129,2,2.86,11,0.5,0.5,2.46,0,,0.3,14.76,1,1,,
2,6/4/16 5:27,6/4/16 5:37,N,1,-73.95760345,40.72222519,-73.94068909,40.75185394,1,2.94,11,0.5,0.5,2.46,0,,0.3,14.76,1,1,,
2,6/4/16 5:27,6/4/16 5:44,N,1,-73.93263245,40.70856857,-73.92192078,40.75542831,1,6.39,20.5,0.5,0.5,0,0,,0.3,21.8,2,1,,
2,6/4/16 5:28,6/4/16 5:45,N,5,-73.86416626,40.85663223,-73.87111664,40.77415085,1,11.38,25,0,0,0,5.54,,0,30.54,2,2,,
1,6/4/16 5:28,6/4/16 5:46,N,1,-73.96691895,40.69382477,-73.99317169,40.75154114,2,5.6,18.5,0.5,0.5,3.2,0,,0.3,23,1,1,,
2,6/4/16 5:28,6/4/16 5:44,N,1,-73.92383575,40.70684433,-73.96797943,40.71089172,5,2.7,13.5,0.5,0.5,0,0,,0.3,14.8,2,1,,
2,6/4/16 5:28,6/4/16 6:06,N,1,-73.94831085,40.78665543,-73.94192505,40.8380127,1,8.69,30.5,0.5,0.5,0,0,,0.3,31.8,2,1,,
2,6/4/16 5:28,6/4/16 5:33,N,1,-73.9582901,40.72286987,-73.95775604,40.71587753,1,0.82,5,0.5,0.5,1.89,0,,0.3,8.19,1,1,,
2,6/4/16 5:28,6/4/16 5:47,N,1,-73.87906647,40.73609543,-73.84825897,40.67457199,1,5.19,18.5,0,0.5,0,0,,0.3,19.3,2,1,,
2,6/4/16 5:28,6/4/16 5:44,N,1,-73.9514389,40.71405029,-73.91468811,40.69460297,1,3.61,14,0.5,0.5,0,0,,0.3,15.3,2,1,,
2,6/4/16 5:28,6/4/16 5:57,N,1,-73.92381287,40.70671082,-73.96589661,40.75394821,1,8.47,27.5,0.5,0.5,1,0,,0.3,29.8,1,1,,
2,6/4/16 5:28,6/4/16 5:53,N,1,-73.92965698,40.75629807,-74.01126099,40.72844315,1,7.99,26.5,0.5,0.5,5.56,0,,0.3,33.36,1,1,,
2,6/4/16 5:28,6/4/16 5:46,N,1,-73.95814514,40.64796066,-73.95698547,40.69889069,1,4.81,17.5,0.5,0.5,0,0,,0.3,18.8,2,1,,
2,6/4/16 5:28,6/4/16 5:40,N,1,-73.95776367,40.72241974,-73.98635101,40.7262764,1,3.22,12,0.5,0.5,2.66,0,,0.3,15.96,1,1,,
2,6/4/16 5:28,6/4/16 5:38,N,1,-73.95769501,40.72213745,-73.99052429,40.7194519,1,2.89,11,0.5,0.5,2.46,0,,0.3,14.76,1,1,,
2,6/4/16 5:28,6/4/16 5:40,N,1,-73.93943024,40.8135376,-73.89931488,40.81468201,1,5.63,17.5,0.5,0.5,3.76,0,,0.3,22.56,1,1,,
2,6/4/16 5:28,6/4/16 5:39,N,1,-73.88488007,40.74766541,-73.91547394,40.74339676,1,1.94,9.5,0.5,0.5,1,0,,0.3,11.8,1,1,,
2,6/4/16 5:28,6/4/16 5:35,N,1,-73.95923615,40.65235138,-73.94604492,40.62994385,1,1.92,8,0.5,0.5,0,0,,0.3,9.3,2,1,,
1,6/4/16 5:28,6/4/16 5:35,N,1,-73.88385773,40.74756622,-73.86422729,40.74892426,1,1.1,6,0.5,0.5,0,0,,0.3,7.3,2,1,,
2,6/4/16 5:28,6/4/16 5:37,N,1,-73.91934967,40.86474228,-73.94281769,40.82186508,1,3.3,12,0.5,0.5,0,0,,0.3,13.3,1,1,,
2,6/4/16 5:28,6/4/16 5:40,N,1,-73.98936462,40.6696701,-73.99435425,40.68094635,1,2.17,10,0,0.5,0,0,,0.3,10.8,2,1,,
2,6/4/16 5:28,6/4/16 5:35,N,1,-73.95766449,40.72210693,-73.9438324,40.71103668,1,1.79,7.5,0.5,0.5,0,0,,0.3,8.8,2,1,,
1,6/4/16 5:28,6/4/16 5:39,N,1,-73.95272064,40.72704315,-73.98049164,40.72376251,1,3.9,13.5,0.5,0.5,2,0,,0.3,16.8,1,1,,
1,6/4/16 5:29,6/4/16 5:35,N,1,-73.96389008,40.71030807,-73.95436096,40.69494247,1,2,7.5,0.5,0.5,0,0,,0.3,8.8,2,1,,
2,6/4/16 5:29,6/4/16 5:41,N,1,-73.95952606,40.71814346,-73.91721344,40.71093369,1,3.38,12,0.5,0.5,2.66,0,,0.3,15.96,1,1,,
1,6/4/16 5:29,6/4/16 5:30,Y,1,-73.85943604,40.67458725,-73.86679077,40.67618942,1,0.4,3.5,0.5,0.5,0,0,,0.3,4.8,2,1,,
2,6/4/16 5:29,6/4/16 5:45,N,1,-73.92116547,40.75771332,-73.97354126,40.78288651,1,4.92,17.5,0.5,0.5,1.2,0,,0.3,20,1,1,,
2,6/4/16 5:29,6/4/16 5:41,N,1,-73.92889404,40.85078049,-73.95205688,40.82372284,1,2.65,12,0.5,0.5,0,0,,0.3,13.3,2,1,,
2,6/4/16 5:29,6/4/16 5:33,N,1,-73.90348053,40.74537659,-73.90586853,40.73863983,5,0.72,5,0.5,0.5,1.26,0,,0.3,7.56,1,1,,
2,6/4/16 5:29,6/4/16 5:56,N,1,-73.88101196,40.74193954,-73.73442078,40.66152191,2,12.77,36.5,0.5,0.5,1,0,,0.3,38.8,1,1,,
2,6/4/16 5:29,6/4/16 5:34,N,1,-73.97914124,40.69367599,-74.00021362,40.71841812,2,2.22,8.5,0.5,0.5,0,0,,0.3,9.8,2,1,,
2,6/4/16 5:29,6/4/16 5:40,N,1,-73.95137024,40.68963623,-73.9201889,40.68520355,1,2.12,10,0.5,0.5,0,0,,0.3,11.3,2,1,,
2,6/4/16 5:30,6/4/16 5:36,N,1,-73.89170837,40.8695755,-73.91359711,40.83894348,1,2.47,9,0.5,0.5,0,0,,0.3,10.3,2,1,,
